variable,present_in_dataset,non_null_count,missing_count,missing_pct,first_non_null_date,last_non_null_date
new_cases,True,1274,400,23.89,2020-01-05,2023-07-01
total_cases,True,1674,0,0.0,2020-01-05,2024-08-04
new_deaths,True,1274,400,23.89,2020-01-05,2023-07-01
total_deaths,True,1674,0,0.0,2020-01-05,2024-08-04
people_vaccinated,True,1317,357,21.33,2020-12-27,2024-08-04
people_fully_vaccinated,True,1316,358,21.39,2020-12-28,2024-08-04
total_boosters,True,1298,376,22.46,2021-01-15,2024-08-04
new_vaccinations,True,925,749,44.74,2020-12-28,2023-07-10
stringency_index,True,1092,582,34.77,2020-01-05,2022-12-31
reproduction_rate,True,1038,636,37.99,2020-03-01,2023-01-02
icu_patients,True,1109,565,33.75,2020-03-18,2023-03-31
hosp_patients,True,1109,565,33.75,2020-03-18,2023-03-31
new_cases_7d_avg,True,1280,394,23.54,2020-01-05,2023-07-07
new_deaths_7d_avg,True,1280,394,23.54,2020-01-05,2023-07-07
